months_programming,hours_learning_per_week,num_learning_resources,attended_bootcamp,is_under_employed,is_ethnic_minority,has_degree,is_high_income_country,log_expected_earning,paid_contributor,gender_clean,age_group,age_numeric
36.0,60.0,0.0,0,0,1,0,1,10.633472802314019,1,man,experienced,36.0
16.0,20.0,0.0,0,0,0,0,0,10.633472802314019,1,man,young,29.0
6.0,8.0,0.0,0,0,0,0,0,10.633472802314019,0,man,experienced,45.0
19.0,15.0,0.0,0,0,1,0,1,10.633472802314019,1,man,young,29.0
4.0,20.0,0.0,0,0,0,1,1,10.633472802314019,1,woman,young,27.0
19.0,6.0,0.0,1,0,1,0,1,10.633472802314019,1,man,young,31.0
24.0,5.0,0.0,0,0,0,1,1,10.633472802314019,1,man,experienced,35.0
9.0,15.0,0.0,0,0,0,0,1,10.596659732783579,0,man,young,18.0
84.0,20.0,0.0,0,0,1,1,1,10.633472802314019,1,man,young,32.0
6.0,40.0,0.0,1,0,1,1,1,10.633472802314019,0,man,young,26.0
18.0,20.0,0.0,0,1,0,0,1,10.819798284210286,0,man,young,33.0
12.0,15.0,0.0,0,1,1,1,1,11.225256725762893,0,man,experienced,54.0
6.0,4.0,0.0,1,1,0,1,0,10.633472802314019,1,man,young,27.0
14.0,10.0,0.0,0,0,0,0,0,10.633472802314019,1,man,young,22.0
24.0,8.0,0.0,0,0,1,1,1,10.633472802314019,1,man,experienced,36.0
9.0,1.0,0.0,1,0,1,1,1,10.633472802314019,1,woman,young,28.0
24.0,32.0,0.0,0,1,0,1,1,10.819798284210286,0,man,experienced,35.0
36.0,12.0,0.0,1,0,0,1,1,10.633472802314019,1,man,experienced,35.0
24.0,30.0,0.0,0,1,0,0,1,10.463131911491967,0,man,young,31.0
40.0,10.0,0.0,0,0,0,0,0,10.633472802314019,0,woman,young,21.0
48.0,14.0,0.0,1,1,1,0,1,10.633472802314019,1,man,young,33.0
24.0,55.0,0.0,1,0,1,0,1,10.819798284210286,0,man,young,23.0
6.0,4.0,0.0,0,0,1,1,1,11.002116507732017,0,man,young,30.0
26.0,5.0,0.0,0,0,0,0,1,10.633472802314019,1,man,experienced,36.0
1.0,12.0,0.0,0,0,0,1,0,6.2166061010848646,0,woman,young,24.0
6.0,10.0,0.0,1,0,1,1,1,10.633472802314019,1,woman,young,29.0
48.0,14.0,0.0,0,1,0,0,1,11.225256725762893,0,man,experienced,38.0
28.0,60.0,0.0,0,0,1,0,1,10.633472802314019,1,man,young,23.0
28.0,40.0,0.0,0,0,0,0,1,10.62135173563291,0,man,young,33.0
24.0,50.0,0.0,1,0,0,0,1,10.633472802314019,1,man,young,31.0
7.0,20.0,0.0,1,0,0,1,1,10.633472802314019,1,woman,young,31.0
2.0,35.0,0.0,0,0,1,1,0,10.518700218288165,0,woman,young,33.0
6.0,30.0,0.0,1,0,0,1,1,11.002116507732017,0,man,young,30.0
1.0,20.0,0.0,0,0,0,0,1,10.915106645867503,0,man,young,32.0
6.0,20.0,0.0,1,1,1,1,1,11.289794413577894,0,man,experienced,50.0
19.0,12.0,0.0,0,0,1,1,1,10.633472802314019,1,man,experienced,38.0
10.0,40.0,0.0,0,0,0,1,0,10.633472802314019,1,man,young,30.0
6.0,13.0,0.0,0,1,0,0,1,10.633472802314019,0,man,young,18.0
16.0,40.0,0.0,1,0,0,1,0,11.51293546492023,0,man,young,24.0
10.0,20.0,0.0,0,0,0,0,1,9.392745258631441,0,woman,young,24.0
6.0,10.0,0.0,0,0,0,0,1,10.633472802314019,1,man,young,19.0
11.0,12.0,0.0,0,0,0,1,0,10.633472802314019,1,man,young,24.0
11.0,10.0,0.0,1,0,0,1,1,10.633472802314019,0,woman,experienced,41.0
22.0,10.0,0.0,0,0,1,1,1,10.633472802314019,1,woman,young,28.0
50.0,25.0,0.0,0,0,0,0,1,10.633472802314019,1,woman,experienced,41.0
20.0,25.0,0.0,0,0,1,1,1,10.12667110305036,0,man,young,33.0
36.0,5.0,0.0,0,0,1,0,1,10.633472802314019,1,man,young,17.0
6.0,1.0,0.0,1,1,1,1,1,10.915106645867503,0,man,young,29.0
4.0,12.0,0.0,0,0,0,1,0,10.633472802314019,1,man,young,25.0
24.0,6.0,0.0,0,0,0,1,0,10.633472802314019,1,man,young,24.0
5.0,20.0,0.0,0,1,1,1,1,11.082157933374816,0,man,young,33.0
2.0,30.0,0.0,0,0,0,1,0,10.596659732783579,0,man,young,27.0
12.0,24.0,0.0,0,0,0,0,1,10.12667110305036,0,man,young,24.0
30.0,6.0,0.0,0,0,0,1,1,10.633472802314019,1,man,young,22.0
4.0,20.0,0.0,1,1,1,1,0,11.156264806643742,0,man,young,23.0
36.0,20.0,0.0,0,1,0,1,1,10.915106645867503,0,woman,young,21.0
4.0,30.0,0.0,1,1,1,0,1,10.819798284210286,0,man,experienced,36.0
12.0,1.0,0.0,0,0,0,1,1,10.633472802314019,0,woman,young,32.0
9.0,25.0,0.0,0,1,0,1,1,10.714439990727769,0,man,experienced,35.0
8.0,60.0,0.0,0,0,0,1,1,10.633472802314019,0,man,young,29.0
10.0,5.0,0.0,0,0,1,1,0,12.611541086966115,0,man,young,33.0
7.0,25.0,0.0,0,0,0,1,1,10.633472802314019,0,woman,young,33.0
8.0,5.0,0.0,1,0,1,0,1,10.633472802314019,1,woman,young,25.0
12.0,5.0,0.0,0,1,0,0,0,10.633472802314019,0,woman,young,19.0
6.0,10.0,0.0,0,0,0,0,1,10.633472802314019,0,man,young,34.0
9.0,36.0,0.0,1,0,0,1,1,11.225256725762893,0,man,young,29.0
48.0,15.0,0.0,0,0,1,1,1,10.633472802314019,0,man,young,21.0
12.0,10.0,0.0,0,1,0,1,1,11.002116507732017,0,man,experienced,44.0
24.0,2.0,0.0,1,0,1,1,1,10.633472802314019,1,woman,experienced,36.0
12.0,5.0,0.0,0,1,0,1,1,10.633472802314019,1,man,experienced,42.0
30.0,2.0,0.0,0,0,0,0,1,10.633472802314019,1,man,young,17.0
7.0,8.0,0.0,0,0,0,1,1,10.239995502805316,0,man,young,25.0
36.0,6.0,0.0,0,0,0,0,1,10.633472802314019,1,man,young,24.0
28.0,8.0,0.0,0,0,0,1,1,10.633472802314019,1,man,young,25.0
12.0,12.0,0.0,0,0,0,0,1,10.633472802314019,0,man,experienced,38.0
2.0,35.0,0.0,0,1,0,0,0,10.633472802314019,0,man,young,19.0
5.0,10.0,0.0,0,1,0,0,1,10.633472802314019,0,woman,young,29.0
3.0,5.0,0.0,0,0,0,1,0,8.131824785007195,0,man,young,24.0
0.0,21.0,0.0,0,1,1,0,0,10.596659732783579,0,man,young,20.0
1.0,10.0,0.0,0,0,0,1,0,10.633472802314019,0,man,young,31.0
8.0,7.0,0.0,0,0,0,1,0,10.633472802314019,0,man,young,22.0
140.0,16.0,0.0,0,0,0,1,0,8.517393171418904,0,man,experienced,36.0
49.0,2.0,0.0,0,0,0,1,0,10.633472802314019,1,man,young,22.0
7.0,6.0,0.0,0,0,0,1,0,6.2166061010848646,0,woman,young,20.0
1.0,6.0,0.0,0,0,0,1,0,4.61512051684126,0,woman,young,21.0
2.0,20.0,0.0,0,1,1,0,1,11.156264806643742,0,man,experienced,46.0
12.0,70.0,0.0,0,0,0,1,0,8.006700845440367,0,woman,young,30.0
6.0,10.0,0.0,0,0,0,0,1,10.633472802314019,0,man,experienced,57.0
6.0,20.0,0.0,0,0,0,1,0,10.633472802314019,1,man,young,22.0
6.0,15.0,0.0,0,0,0,0,0,6.90875477931522,0,man,young,21.0
2.0,4.0,0.0,0,0,0,1,0,10.633472802314019,0,woman,young,34.0
1.0,50.0,0.0,0,0,0,1,0,4.61512051684126,0,man,young,22.0
200.0,8.0,0.0,0,0,0,0,1,10.633472802314019,1,man,experienced,37.0
0.0,35.0,0.0,0,0,0,1,0,10.633472802314019,0,woman,experienced,50.0
1.0,10.0,0.0,0,0,1,0,1,11.289794413577894,0,man,young,27.0
6.0,10.0,0.0,0,0,0,0,1,10.633472802314019,0,man,young,16.0
56.0,10.0,0.0,0,0,0,0,0,7.824445930877619,0,man,experienced,40.0
2.0,4.0,0.0,0,0,0,1,0,10.633472802314019,0,man,young,29.0
2.0,4.0,0.0,0,0,0,0,0,10.12667110305036,0,man,young,18.0
24.0,0.0,0.0,0,0,0,0,1,10.633472802314019,0,man,young,15.0
12.0,6.0,0.0,0,0,0,1,1,10.819798284210286,0,woman,young,32.0
1.0,3.0,0.0,0,0,1,1,1,11.289794413577894,0,man,young,24.0
