ed_level_enc,is_employed,is_remote,is_student,years_code,years_code_pro,devtype_developer_full_stack,devtype_developer_back_end,devtype_developer_front_end,devtype_developer_mobile,devtype_data_scientist_or_machine_learning_specialist,devtype_devops_specialist,devtype_engineering_manager,devtype_data_engineer,devtype_developer_desktop_or_enterprise_applications,devtype_security_professional,above_median_salary,ConvertedCompYearly,age_group,age_exp_pro,age_exp_total,exp_pro_bracket,exp_total_bracket
6.0,1,0,0,14.0,0.5,0,0,0,0,0,0,0,0,0,0,0,30074.0,young,young_junior,young_mid,junior,mid
4.0,1,0,0,7.0,3.0,1,0,0,0,0,0,0,0,0,0,1,85000.0,young,young_junior,young_mid,junior,mid
4.0,1,1,0,13.0,10.0,0,0,0,0,0,0,1,0,0,0,0,55946.0,young,young_mid,young_mid,mid,mid
4.0,1,1,0,11.0,8.0,0,1,0,0,0,0,0,0,0,0,0,4937.0,young,young_mid,young_mid,mid,mid
4.0,1,0,0,11.0,6.0,0,1,0,0,0,0,0,0,0,0,0,14720.0,young,young_mid,young_mid,mid,mid
5.0,1,1,0,17.0,10.0,0,0,1,0,0,0,0,0,0,0,1,70888.0,experienced,experienced_mid,experienced_senior,mid,senior
3.0,1,0,0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,55000.0,experienced,experienced_junior,experienced_junior,junior,junior
5.0,1,0,0,7.0,2.0,1,0,0,0,0,0,0,0,0,0,0,32222.0,young,young_junior,young_mid,junior,mid
4.0,1,0,0,18.0,13.0,1,0,0,0,0,0,0,0,0,0,1,120000.0,experienced,experienced_mid,experienced_senior,mid,senior
5.0,1,1,0,50.0,44.0,0,0,0,0,0,0,0,0,0,1,0,53703.0,experienced,experienced_senior,experienced_senior,senior,senior
5.0,1,0,0,17.0,5.0,1,0,0,0,0,0,0,0,0,0,1,111417.0,young,young_mid,young_senior,mid,senior
4.0,1,0,0,6.0,2.0,1,0,0,0,0,0,0,0,0,0,1,69369.0,young,young_junior,young_mid,junior,mid
5.0,1,0,0,16.0,11.0,0,1,0,0,0,0,0,0,0,0,1,85925.0,experienced,experienced_mid,experienced_senior,mid,senior
4.0,1,1,0,17.0,11.0,0,1,0,0,0,0,0,0,0,0,1,99999.0,young,young_mid,young_senior,mid,senior
4.0,1,0,0,13.0,4.0,0,0,0,0,0,1,0,0,0,0,1,165000.0,young,young_junior,young_mid,junior,mid
1.0,1,0,0,32.0,32.0,1,0,0,0,0,0,0,0,0,0,1,105706.0,experienced,experienced_senior,experienced_senior,senior,senior
5.0,1,1,0,8.0,6.0,0,1,0,0,0,0,0,0,0,0,0,24616.0,young,young_mid,young_mid,mid,mid
4.0,1,0,0,25.0,17.0,1,0,0,0,0,0,0,0,0,0,0,10303.0,experienced,experienced_senior,experienced_senior,senior,senior
